"file","leg","behind_end_max","p2p_end_max","src_behind_end","src_p2p_end","src_dec_fps","sources","generated"
"13_4448x3096_ProRes_4444\V1-0004_A001C015_120101_ROES.mov","1","6","71","2","29","47.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"13_4448x3096_ProRes_4444\V1-0004_A001C015_120101_ROES.mov","2","4","45","0","4.2","50.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"13_4448x3096_ProRes_4444\V1-0004_A001C015_120101_ROES.mov","3","4","70","0","21.8","41.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"13_4448x3096_ProRes_4444\V1-0004_A001C015_120101_ROES.mov","4","4","51","0","8.2","47.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"14_720P_Comfyui_mp4\video_ComfyUI_0000Fly8.mp4","1","5","38","1","7.8","235","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"14_720P_Comfyui_mp4\video_ComfyUI_0000Fly8.mp4","2","4","39","0","8.2","447.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"14_720P_Comfyui_mp4\video_ComfyUI_0000Fly8.mp4","3","4","31","0","0.4","70.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"14_720P_Comfyui_mp4\video_ComfyUI_0000Fly8.mp4","4","4","34","0","3.7","285.6","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"16_4kSeedance_9x16_Comfyui_MP4\video_ComfyUI_00004_.mp4","1","4","34","0","1.9","62.6","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"16_4kSeedance_9x16_Comfyui_MP4\video_ComfyUI_00004_.mp4","2","4","31","0","0.1","115.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"16_4kSeedance_9x16_Comfyui_MP4\video_ComfyUI_00004_.mp4","3","4","60","0","2.5","34.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"16_4kSeedance_9x16_Comfyui_MP4\video_ComfyUI_00004_.mp4","4","4","855","0","54.9","2.5","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\_model_veo31_202512171427_8auub.mp4","1","4","34","0","3.7","124.8","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\_model_veo31_202512171427_8auub.mp4","2","4","35","0","4.8","254.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\_model_veo31_202512171427_8auub.mp4","3","4","31","0","0.5","70.8","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\_model_veo31_202512171427_8auub.mp4","4","4","36","0","5.1","169.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\A_slow_controlled_202512171507_fbb81.mp4","1","4","34","0","3.9","124.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\A_slow_controlled_202512171507_fbb81.mp4","2","4","38","0","7.3","252.8","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\A_slow_controlled_202512171507_fbb81.mp4","3","4","31","0","0.4","70.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\A_slow_controlled_202512171507_fbb81.mp4","4","4","39","0","8.2","170.8","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\Best_02.mp4","1","4","35","0","4.2","93.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\Best_02.mp4","2","4","40","0","9.2","200.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\Best_02.mp4","3","4","36","0","0.3","56.5","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\Best_02.mp4","4","4","37","0","7","138","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\Dram_Theater_8_endcard.mp4","1","4","33","0","0.6","62","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\Dram_Theater_8_endcard.mp4","2","4","30","0","0","136.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\Dram_Theater_8_endcard.mp4","3","4","54","0","0.6","37.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\Dram_Theater_8_endcard.mp4","4","4","30","0","0","96.8","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\WeLo-AI-rc13-1x1_SOCIAL.mp4","1","6","38","2","7.9","469.2","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
